

--------------- Analisis Basico de Procesos del Sistema ---------------
Fecha :2026-02-12   Hora: 19:38:25
-----------------------------------------------------------------------


----------------- Tabla de Procesos del Sistema -----------------
-----------------------------------------------------------------
PID       Nombre del Proceso                      Memoria (MB)   
8600      svchost.exe                             20             
18804     vcpkgsrv.exe                            20             
10700     vcpkgsrv.exe                            20             
1220      RtkAudUService64.exe                    19             
4648      svchost.exe                             19             
3232      svchost.exe                             18             
14556     svchost.exe                             17             
12808     dllhost.exe                             17             
6884      backgroundTaskHost.exe                  17             
3944      svchost.exe                             16             
18436     svchost.exe                             16             
1832      svchost.exe                             16             
18688     svchost.exe                             16             
7796      svchost.exe                             16             
4744      Mystic_Light_Service.exe                15             
10440     svchost.exe                             15             
5072      svchost.exe                             15             
1916      OpenConsole.exe                         14             
12088     svchost.exe                             14             
2700      svchost.exe                             14             
17732     RuntimeBroker.exe                       14             
5224      svchost.exe                             14             
12264     svchost.exe                             14             
4876      winlogon.exe                            14             
16740     StandardCollector.Service.exe           14             
3696      svchost.exe                             13             
2472      svchost.exe                             13             
16204     svchost.exe                             12             
14976     opera_crashreporter.exe                 12             
16848     svchost.exe                             12             
16100     RuntimeBroker.exe                       11             
3532      atiesrxx.exe                            11             
18504     vgtray.exe                              11             
21968     svchost.exe                             11             
2260      svchost.exe                             11             
5372      UserOOBEBroker.exe                      11             
20632     unsecapp.exe                            11             
2064      svchost.exe                             11             
15936     tasklist.exe                            11             
11924     ms-teams.exe                            10             
3872      svchost.exe                             10             
22444     AMDRSSrcExt.exe                         10             
8428      svchost.exe                             10             
17008     ms-teams.exe                            10             
14184     svchost.exe                             10             
23412     msedgewebview2.exe                      9              
9304      svchost.exe                             9              
4728      RtkAudUService64.exe                    9              
4276      svchost.exe                             9              
1516      services.exe                            9              
19516     svchost.exe                             9              
23372     conhost.exe                             9              
11888     msedgewebview2.exe                      9              
21488     AMDRSServ.exe                           9              
20968     Spotify.exe                             8              
11556     csrss.exe                               8              
5104      MSI_Case_Service.exe                    8              
4304      svchost.exe                             8              
1876      svchost.exe                             8              
4620      spoolsv.exe                             8              
16076     SecurityHealthService.exe               8              
8252      svchost.exe                             8              
3088      svchost.exe                             8              
5032      DuplicateFileMonitor.exe                8              
5048      DuplicateDaemon.exe                     8              
11332     conhost.exe                             7              
8196      AggregatorHost.exe                      7              
18768     conhost.exe                             7              
2088      svchost.exe                             7              
2292      svchost.exe                             7              
2300      svchost.exe                             7              
2576      svchost.exe                             7              
1756      svchost.exe                             7              
7456      WmiPrvSE.exe                            7              
9616      MSI.TerminalServer.exe                  7              
5056      logi_lamparray_service.exe              7              
10216     svchost.exe                             7              
7492      svchost.exe                             7              
5064      svchost.exe                             7              
11472     conhost.exe                             7              
4944      svchost.exe                             7              
13304     svchost.exe                             6              
12600     VsDebugConsole.exe                      6              
3864      svchost.exe                             6              
3828      svchost.exe                             6              
6844      svchost.exe                             6              
4536      MSI_Companion_Service.exe               6              
22568     conhost.exe                             6              
5040      LightKeeperService.exe                  6              
2308      svchost.exe                             6              
3016      svchost.exe                             6              
4764      svchost.exe                             6              
21012     svchost.exe                             6              
1912      svchost.exe                             6              
2364      fontdrvhost.exe                         6              
21328     msedgewebview2.exe                      5              
21972     MSI.True Color.exe                      5              
3704      svchost.exe                             5              
5848      svchost.exe                             5              
9276      NisSrv.exe                              5              
8592      svchost.exe                             5              
5688      svchost.exe                             5              
1396      wininit.exe                             4              
7520      svchost.exe                             4              
8220      svchost.exe                             4              
3976      svchost.exe                             4              
3316      svchost.exe                             4              
3388      svchost.exe                             4              
3204      svchost.exe                             4              
3292      svchost.exe                             4              
4504      cmd.exe                                 4              
22604     Monitor_Procesos.exe                    4              
15136     cmd.exe                                 4              
4312      WUDFHost.exe                            3              
1132      csrss.exe                               3              
3884      DaemonUpdateAssistant.exe               3              
5112      MSI_Central_Service.exe                 3              
11232     svchost.exe                             3              
2072      svchost.exe                             3              
20544     CPUMetricsServer.exe                    3              
7928      gamingservicesnet.exe                   3              
4864      svchost.exe                             3              
15996     svchost.exe                             3              
2076      svchost.exe                             2              
3952      SystemSettings.exe                      2              
2276      svchost.exe                             2              
19908     svchost.exe                             2              
7944      svchost.exe                             2              
9084      svchost.exe                             2              
22556     msedgewebview2.exe                      2              
2488      svchost.exe                             2              
5084      NgcIso.exe                              2              
4         System                                  2              
2724      wlanext.exe                             2              
3684      svchost.exe                             2              
3528      amdfendrsr.exe                          2              
5208      svchost.exe                             2              
1560      LsaIso.exe                              1              
1744      fontdrvhost.exe                         1              
836       svchost.exe                             1              
8016      conhost.exe                             1              
11336     amdow.exe                               1              
9532      svchost.exe                             1              
13708     cmd.exe                                 1              
13316     vshost.exe                              1              
16996     conhost.exe                             1              
7400      conhost.exe                             1              
4996      AmdPpkgSvc.exe                          1              
4144      cncmd.exe                               0              
0         System Idle Process                     0              
720       smss.exe                                0              

Total de procesos: 253
----------------------------------------------------------------- 


------------------- Procesos Sospechosos -------------------
------------------------------------------------------------
PID: 10300
Nombre del Proceso: devenv.exe
Memoria Utilizada: 1053 MB
Nivel de Sospecha: ALTO
Razon: Consumo de memoria demasiado alto.
------------------------------------------------------------
PID: 2912
Nombre del Proceso: ChatGPT.exe
Memoria Utilizada: 883 MB
Nivel de Sospecha: MEDIO
Razon: Consumo de memoria elevado.
------------------------------------------------------------
PID: 20216
Nombre del Proceso: copilot-language-server.exe
Memoria Utilizada: 428 MB
Nivel de Sospecha: BAJO
Razon: Nombre del proceso inusualmente largo.
------------------------------------------------------------
PID: 14940
Nombre del Proceso: ServiceHub.IntellicodeModelService.exe
Memoria Utilizada: 221 MB
Nivel de Sospecha: BAJO
Razon: Nombre del proceso inusualmente largo.
------------------------------------------------------------
PID: 10364
Nombre del Proceso: StartMenuExperienceHost.exe
Memoria Utilizada: 157 MB
Nivel de Sospecha: BAJO
Razon: Nombre del proceso inusualmente largo.
------------------------------------------------------------
PID: 16740
Nombre del Proceso: StandardCollector.Service.exe
Memoria Utilizada: 14 MB
Nivel de Sospecha: BAJO
Razon: Nombre del proceso inusualmente largo.
------------------------------------------------------------
PID: 5056
Nombre del Proceso: logi_lamparray_service.exe
Memoria Utilizada: 7 MB
Nivel de Sospecha: BAJO
Razon: Nombre del proceso inusualmente largo.
------------------------------------------------------------
