

--------------- Analisis de Procesos del Sistema ---------------
Fecha :2026-02-12   Hora: 23:43:18
-----------------------------------------------------------------------


----------------- Tabla de Procesos Basica del Sistema -----------------
-----------------------------------------------------------------
PID       Nombre del Proceso                      Memoria (MB)   
---------------------------------------------------------------------------


--------------------------- Distribucion de Riesgos ---------------------------
-------------------------------------------------------------------------------
Procesos en Estado CRITICO (1 procesos):
svchost.exe                                             

-------------------------------------------------------------------------------
Procesos en Estado ALTO (1 procesos):
devenv.exe                                              

-------------------------------------------------------------------------------
Procesos en Estado MODERADO (2 procesos):
Spotify.exe                                             
opera.exe                                               

-------------------------------------------------------------------------------
Procesos en Estado BAJO (5 procesos):
copilot-language-server.exe                             
ServiceHub.IntellicodeModelService.exe                  
StartMenuExperienceHost.exe                             
StandardCollector.Service.exe                           
logi_lamparray_service.exe                              

-------------------------------------------------------------------------------

Porcentaje de Procesos Sospechosos: 4.37%
Indice Global de Riesgo: CRITICO
-------------------------------------------------------------------------------


--------------------------- Procesos Sospechosos ---------------------------
----------------------------------------------------------------------------
PID: 10300
Nombre del Proceso: devenv.exe
Memoria Utilizada: 1179 MB
Nivel de Sospecha: ALTO
Razon: Consumo de memoria demasiado alto.
----------------------------------------------------------------------------
PID: 7544
Nombre del Proceso: Spotify.exe
Memoria Utilizada: 561 MB
Nivel de Sospecha: MODERADO
Razon: Consumo de memoria elevado.
----------------------------------------------------------------------------
PID: 18564
Nombre del Proceso: opera.exe
Memoria Utilizada: 541 MB
Nivel de Sospecha: MODERADO
Razon: Consumo de memoria elevado.
----------------------------------------------------------------------------
PID: 20216
Nombre del Proceso: copilot-language-server.exe
Memoria Utilizada: 459 MB
Nivel de Sospecha: BAJO
Razon: Nombre del proceso inusualmente largo.
----------------------------------------------------------------------------
PID: 14940
Nombre del Proceso: ServiceHub.IntellicodeModelService.exe
Memoria Utilizada: 222 MB
Nivel de Sospecha: BAJO
Razon: Nombre del proceso inusualmente largo.
----------------------------------------------------------------------------
PID: 10364
Nombre del Proceso: StartMenuExperienceHost.exe
Memoria Utilizada: 157 MB
Nivel de Sospecha: BAJO
Razon: Nombre del proceso inusualmente largo.
----------------------------------------------------------------------------
PID: 16740
Nombre del Proceso: StandardCollector.Service.exe
Memoria Utilizada: 14 MB
Nivel de Sospecha: BAJO
Razon: Nombre del proceso inusualmente largo.
----------------------------------------------------------------------------
PID: 5056
Nombre del Proceso: logi_lamparray_service.exe
Memoria Utilizada: 7 MB
Nivel de Sospecha: BAJO
Razon: Nombre del proceso inusualmente largo.
----------------------------------------------------------------------------
PID: 18564
Nombre del Proceso: opera.exe
Memoria Utilizada: 541 MB
Nivel de Sospecha: ALTA
Razon: Demasiados procesos con el mismo nombre. (20 ocurrencias)
----------------------------------------------------------------------------
PID: 3312
Nombre del Proceso: msedgewebview2.exe
Memoria Utilizada: 438 MB
Nivel de Sospecha: ALTA
Razon: Demasiados procesos con el mismo nombre. (15 ocurrencias)
----------------------------------------------------------------------------
PID: 5004
Nombre del Proceso: svchost.exe
Memoria Utilizada: 52 MB
Nivel de Sospecha: CRITICO
Razon: Cantidad excesiva de procesos con el mismo nombre. (90 ocurrencias)
----------------------------------------------------------------------------
